,0,1,2
24,Pussy Ahh HOE STAY OFF DHA FORMSPRING PAGE HATER bye ,Pussy Ahh HOE STAY OFF DHA FORMSPRING PAGE HATER pussy Pussy Ahh HOE STAY OFF DHA FORMSPRING PAGE HATER pussy ahh hole Pussy Ahh HOE STAY OFF DHA FORMSPRING PAGE HATER ,Yes
25,PRISCILLA AINT U HOE SHE DNT SUK DICKK DASS ALL YO JOB BECKY no nott really d f u dnt even noe me let alone shit bwt meh last tyme i checked u was a stranger,SHE DNT SUK DICKK DASS ALL YO JOB Q PRISCILLA AINT U HOE SHE DNT SUK DICKK DASS ALL YO JOB BECKY A no nott really d f u dnt even noe me let alone shit bwt meh last tyme i checked u was a stranger AINT U HOE SHE DNT SUK DICKK PRISCILLA AINT U HOE SHE DNT SUK DICKK U HOE SHE DNT SUK DICKK SHE DNT SUK DICKK ,Yes
26,okaaaay lemme let youu know somethinnnn youuur a fastt ass hoeee who needss to keep her DAMN legss closeddd youuu act likee yuuur so hardd but bitchhh yourr softerrr thann fuckinn creamm cheeseeee byeeeeeeee anonomouss ,youuu act likee yuuur so hardd but bitchhh yourr softerrr thann fuckinn creamm cheeseeee okaaaay lemme let youu know somethinnnn youuur a fastt ass hoeee who needss to keep her DAMN legss closeddd youuu act likee yuuur so hardd but bitchhh yourr softerrr thann fuckinn creamm cheeseeee byeeeeeeee youuur a fastt ass hoeee who needss to keep her DAMN legss closeddd fastt ass hoeee keep her DAMN legss closedd bitch youuur a fastt ass hoeee who needss to keep her DAMN legss closeddd youuur a fastt ass hoeee who needss to keep her DAMN legss closeddd youuu act likee yuuur so hardd but bitchhh yourr softerrr thann fuckinn creamm cheeseeee ,Yes
27,CONTINUED She barged in the girl was sitting next to me Next thing I knew the girl was apos floating apos in the air beside me lmbo Emily had grabbed her by the hair and totally pulled her out of her seat lol CONTINUE wat the hell she cant fite for shizzle lol,Emily had grabbed her by the hair and totally pulled her out of her seat lol she can fite for shizzle ,Yes
28,oh yeah and btw anonomousVVVV i did step up tew amber i fought ha alreadii dum trikk aint no sense in fitin her she juss ggunnah lose again mmhm ,dum trikk i did step up tew amber i fought ha alreadii dum trikk ,Yes
29,Oh bitch you can039 t hide cus I039 m gonna find you and we gon have a problem hoe hide frm who wtf i aint hidin from noone sawgrass is were ull find me oh yeah and in royal palm like d f hoe u dnt skare me , bitch hoe Oh Bitch I m gonna find you we gon have a problem hoe bitch you can t hide hoe ,Yes
30,chilling u homo o 2500msg jezz u are a nerd lmao p lmao hmm all those lost times who u calling a nerd havent been on here for the longest time wea u been hiding nerd thats right you been geeking lol,U are a nerd chilling u homo o 2500msg jezz u are a nerd lmao p ,Yes
31,Nope actually this is who was told by one if the peolpe that was there so stick that in your juice box ur mad gay and dnt be annonomousss butch stick tht IN UR JUICE BOX hoe , mad gay stick that in your juice box hoe butch stick tht IN UR JUICE BOX hoe ,Yes
32,where did u come up with the name moo for him yeh a spazz of a moment lol,where did u come up with the name moo for the name moo for him ,Yes
33,ms becky u aint pretty u ugly as fuk das y u al day way in cracka town now fuk rong wit yo soft as tryna start wit priscilla haha nahh my name w e byee , ugly as fu c k wrong wit h yo u u aint pretty u as fuk u aint pretty u ugly as fuk das y u al day way in cracka town now fuk rong wit yo u aint pretty u ugly as fuk u ugly as fuk ,Yes
34,i herd u fuked karone in 6 grade umm i herd i dnt even talk tew 6th graders let alone fuk them DANNY i noe its u , User is saying untrue personal things about other user Fuk ,Yes
35,Did u now tht ur ugli I lovee ahh haterr 3 but did you know that your uglier than my dogs shit Nahh juss kiddin I m not a bitchh like youu ,Did u now tht ur ugli Did u now tht ur ugli did you know that your uglier than my dogs shit Nahh juss kiddin I m not a bitchh like youu did unow tht ur ugli did you know that your uglier than my dogs shit I m not a bitchh like youu ,Yes
36,haha i knew youu would andd umm this kids a creep worse than you bahahaha VV amp amp woww yourr retarded lol Thanks , this kids a creep yourr retarded worse than you ,Yes
37,Bitchhh this ain no trickk jus know tht wood be yo momma ha momma and dare you to step to her agen betchu you won039 t win TRANNY uh huh okayyy ill make sure ill step up tew her again buhh i aint gun tell u wen mattah of fakt hope u dere ANONOMOUS and hunnny if u not skared y u gottah be anonomous shit yall is annoyin , Bitchhh this ain no trickk jus know tht wood be yo momma ha momma and dare you to step to her agen betchu you won t win TRANNY uh huh okayyy ill make sure ill step up tew her again buhh i aint gun tell u wen mattah of fakt hope u dere ANONOMOUS and hunnny if u not skared y u gottah be anonomous Bitchhh this ain no trickk jus know tht wood be yo momma ha momma and dare you to step to her agen betchu you won t win TRANNY Bitchhh yo momma tranny yall is annoyin ,Yes
38,go 2 hell afterr youu ,go 2 hell The person is telling the other person to go to hell go 2 hell ,Yes
39,Hey bitch boobs don39 t count when the only reason you have them is because your FAT Fat or skinny I still got em way better than having NOTHING Get a life bitch and get off anonymous with this bullshit , Hey bitch boobs don t count when the only reason you have them is because your FAT Bitch Fat Calling the person fat ,Yes
40,Hey bitch don39 t get mad at people who write on here cause YOU ask people to write to you Hey bitch who said I was mad Assume whtevr but if your gonna talk shit put your name alright , Hey bitch talk shit name calling bitch ,Yes
41,cj is gay NO CJAYSS MAH BUDDY wtf yur gay ,Q cj is gay wtf yur gay gay ,Yes
42,but like she is so dang sexy like better looking then you and it dont matter because she would of beat you ohk w e u fuking say bitch stop bein annanomous and fukinn hop owff my shit and im sure she kuld wooped buhh w e u wannah say bye , better looking then you she would of beat you beat you u fuking say bitch fukinn hop owff my shit it dont matter because she would of beat you dang sexy better looking than you bitch stop bein annanomous and fukinn hop owff my shit ,Yes
43,bryans uglyyy dum hoe 5 19 10 aha yu guys make a ugly couple no hes not and its 5 9 10 for yurr info and deff not, bryans ugly dum hoe ugly couple bryans uglyyy dum hoe 5 19 10 aha yu guys make a ugly couple bryans ugly dum hoe ,Yes
44,bitchh juss hopp off her shitt mhkayy cuhss yess youh did ask her an a hole bunch off otha ppl too bhee your frien no one wanna bhee friens wihtt a pussy ass hoe so tryy some were else tryy mihh dawq come on mahh mutha fuhkinn formsprinq dare you lol love yu alanii ,Q bitchh juss hopp off her shitt mhkayy cuhss yess youh did ask her an a hole bunch off otha ppl too bhee your frien no one wanna bhee friens wihtt a pussy ass hoe so tryy some were else tryy mihh dawq come on mahh mutha fuhkinn formsprinq dare you bitchh juss hopp off her shitt mhkayy pussy ass hoe ,Yes
45,FUk you yall betches If this is Arron you really need to get off my ass Call me a bitch idc I know I am But I think your retarded amp amp hella ugly amp dont put a pic of your body only wen you don t got a nice one D and naah nigga fuck YOU ,Q FUk you yall betches A If this is Arron you really need to get off my ass Call me a bitch idc I know I am But I think your retarded hella ugly dont put a pic of your body only wen you don t got a nice one D and naah nigga fuck YOU FUk you yall betches u really need to get off my ass Call me a bitch But I think your retarded hella ugly nigga fuck YOU ,Yes
46,Bet yu wont touch her hoe cus if you do you got it coming her way bitch duh i got it kumin her way dum hoe and take the shit off anonomous oh yeah this mite be amber and shes a fuking PUSSY and dnt wurry u so kall got sum one amaberr buh hoes i gotss plenty , Q Bet yu wont touch her hoe cus if you do you got it coming her way bitch A duh i got it kumin her way dum hoe and take the shit off anonomous oh yeah this mite be amber and shes a fuking PUSSY and dnt wurry u so kall got sum one amaberr buh hoes i gotss plenty hoe bitch shes a fuking PUSSY ,Yes
47,AYO DNT MESS WITH PRISCILLA CUZ DATS MY CHICK N IF YOU GOT A PROBLEM WITH HER YOU GOT ONE WITH ME AND IM NT GNE POST ANONOMOUS CUZ HOE I WILL TEAR U APART WATCH YASELF N DATZ REAL KEEP YA ISH TA YA SELF ND OFF HA PAGE PERIOD POINT BLANK ILL BEAT YA ASS ,HOE I WILL TEAR U APART WATCH YASELF HOE I WILL TEAR U APART POINT BLANK ILL BEAT YA ASS HOE I WILL TEAR U APART WATCH YASELF ILL BEAT YA ASS HOE I WILL TEAR U APART POINT BLANK ILL BEAT YA ASS GOT A PROBLEM WITH HER YOU GOT ONE WITH ME HOE I WILL TEAR U APART WATCH YASELF POINT BLANK ILL BEAT YA ASS ,Yes
48,ayee yu fulkkd wit priscilla n now yo pussy ah tryna start wit trina hoe u fukn up stay off day clits omfg aktually i replied to the thingg she sent me so y dnt u hop owff and get a life , hoe u fukn up stay off day clits pussy ah fulkkd pussy fukn yu fulkkd wit priscilla yo pussy ah tryna start wit trina hoe u fukn up stay off day clits n now yo pussy ah ayee yu fulkkd wit priscilla n now yo pussy ah tryna start wit trina hoe u fukn up stay off day clits pussy hoe ,Yes
49,Aye Hoe Don039 t Rap All Up On My Dawg Priscilla Formspring Like That Hoe She And I Will Get Off On Yo Ugly Ah Witcha STANK ASS ohk awlrite funny how she gottah get ppl aktin lyke i aint got friends and bitch i aint scared or eitha of yall who wanna mssg me , Hoe That Hoe She And I Will Get Off On Yo Ugly Ah Witcha STANK ASS bitch i aint scared or eitha of yall Q Aye Hoe Don t Rap All Up On My Dawg Priscilla Formspring Like That Hoe She And I Will Get Off On Yo Ugly Ah Witcha STANK ASS A ohk awlrite funny how she gottah get ppl aktin lyke i aint got friends and bitch i aint scared or eitha of yall who wanna mssg me Aye Hoe Don t Rap All Up On My Dawg Priscilla Formspring Like That Hoe She And I Will Get Off On Yo Ugly Ah Witcha STANK ASS Q Aye Hoe Don t Rap All Up On My Dawg Priscilla Formspring Like That Hoe She And I Will Get Off On Yo Ugly Ah Witcha STANK ASS A ohk awlrite funny how she gottah get ppl aktin lyke i aint got friends and bitch i aint scared or eitha of yall who wanna mssg me Aye Hoe Don t Rap All Up On My Dawg Priscilla Formspring Like That Hoe She And I Will Get Off On Yo Ugly Ah Witcha STANK ASS ohk awlrite funny how she gottah get ppl aktin lyke i aint got friends and bitch i aint scared or eitha of yall who wanna mssg me ,Yes
50,Aye Hoe DF YU TINK U ISS U BETA TIGHTEN UP amp GET ON YA KNEES N SUK DIS DICKr YU AINT BOUT SHIT HOE BUT SUKIN DICK N GETTIN FUKD I PAY YA ASS 50C BUT YA ASS TU DIRTY I RATHER BY A DRINK YAZIMEH I GO HARD FA PRISCILLA AND HOE U UGLY SHE FINE AS FUK uh huh well dude who eva the fuk u r i dnt give a fuk bwt any one of uu s , Q Aye Hoe DF YU TINK U ISS U BETA TIGHTEN UP GET ON YA KNEES N SUK DIS DICKr YU AINT BOUT SHIT HOE BUT SUKIN DICK N GETTIN FUKD I PAY YA ASS 50C BUT YA ASS TU DIRTY I RATHER BY A DRINK YAZIMEH I GO HARD FA PRISCILLA AND HOE U UGLY SHE FINE AS FUK A uh huh well dude who eva the fuk u r i dnt give a fuk bwt any one of uu s i dnt give a fuk U BETA TIGHTEN UP GET ON YA KNEES N SUK DIS DICKr YU AINT BOUT SHIT HOE BUT SUKIN DICK N GETTIN FUKD hoe suk dis dick Aye Hoe DF YU TINK U ISS U BETA TIGHTEN UP GET ON YA KNEES N SUK DIS DICKr YU AINT BOUT SHIT HOE BUT SUKIN DICK N GETTIN FUKD I PAY YA ASS 50C BUT YA ASS TU DIRTY I RATHER BY A DRINK YAZIMEH I GO HARD FA PRISCILLA AND HOE U UGLY SHE FINE AS FUK Post is kind of threatening and question asker uses lots of derogatory language ,Yes
51,I hope yhu dnt thinkkk yhur prety casue yhur not Well you re uglierrrr your life juss get lowerr each day So keep talking your shit , I hope yhu dnt thinkkk yhur prety casue yhur not your life juss get lowerr each day So keep talking your shit shit ,Yes
52,go sit ya flat self some wherea n stop tryna to like ya hard n shit ananomous ,sit ya flat self some where ya flat self tryna to like ya hard n shit hard n shit go sit ya flat self some wherea ,Yes
53,fuck the lakers GO CELETICS NOOOOO Fuck YOU amp your Celetics , NOOOOO Fuck YOU fuck the lakers Fuck YOU your Celetics fuck the lakers Fuck YOu and your Celetics ,Yes
54,Do u wnt 2 suk my dick Umm i don t wanna catch anything sorry ,Do u wnt 2 suk my dick Do u wnt 2 suk my dick ,Yes
55,whats one thing you strongly about a male and about a female dis like ok im just going to go with dis like maybe shadyness trying to be a player Chikies maybe their bitchy cattyness, Chikies maybe their bitchy cattyness Refers to males in general describing their Shadyness and trying to be a player and females in general and their bitchy cattyness Unlikely to bully someone directly which is why it is rated very mild ,Yes
56,I want to fuck you Are you a blondie yes,I want to fuck you I want to fuck you I want to fuck you ,Yes
57,how does it feel to have a hoe for a sister hows does it feel to be a haterr huh explain tht dum bitch , Q how does it feel to have a hoe for a sister A hows does it feel to be a haterr huh explain tht dum bitch how does it feel to have a hoe for a sister how does it feel to have a hoe for a sister A hows does it feel to be a haterr huh explain tht dum bitch ,Yes
58,how cum u always go tu sydneyy aboutt me nd not me like u go up tu her nd tell her u dont like me nd w e why cant u cume up tu mee ok aktually ur rong she kame up to me askin if i got a prob wit her and i sed noe i got one wit u and she sed tht between me and u really dnt got tyme for ur bullshit bye ,how cum u always go tu sydneyy aboutt me i sed noe i got one wit u dnt got tyme for ur bullshit bye tell her u dont like me aktually ur rong really dnt got tyme for ur bullshit bye ,Yes
59,HOE uh huh thts me du u have a life ,HOE HOE du u have a life HOE Hoe hoe hoe HOE HOE hoe ,Yes
60,hoe u ugly as fuk i need me sum gud headd wurdd round u givvee dat gudd headd pussy ahh hoe aint bout dat life n wdf u said priscilla ugly she look 100 times beta den u u beta sit ya ol ugly ah dwn sumwhea u prob juss sayin dhat kus she prob gave u tht w e dnt mattah whaa u say ,hoe u ugly as fuk hoe u ugly as fuk pussy ahh hoe hoe u ugly as fuck wurdd round u givvee dat gudd headd she look 100 times beta den u ugly as fuk hoe u ugly as fuk ,Yes
61,Hoe U Ugly Df Dnt Cum Tu My Page Wit That Shit Bitch Fuk Rong Wit Yo Life Hoe haha hoe u the ugly one i guess u think u raw aktually u not u muss have sum life kumin to mah page hoe u aint shixt and um juss noe u messin wit dah rong one , Q Hoe U Ugly Df Dnt Cum Tu My Page Wit That Shit Bitch Fuk Rong Wit Yo Life Hoe A haha hoe u the ugly one i guess u think u raw aktually u not u muss have sum life kumin to mah page hoe u aint shixt and um juss noe u messin wit dah rong one Hoe U Ugly Bitch Fuk Rong Wit Yo Life Hoe hoe u the ugly one Hoe U Ugly Df Dnt Cum Tu My Page Wit That Shit Bitch Fuk Rong Wit Yo Life Hoe Hoe U Ugly haha hoe u the ugly one Hoe U Ugly Df Dnt Cum Tu My Page Wit That Shit Bitch Fuk Rong Wit Yo Life Hoe A haha hoe u the ugly one i guess u think u raw aktually u not u muss have sum life kumin to mah page hoe u aint shixt and um juss noe u messin wit dah rong one ,Yes
62,hoe u look soft df lmao uh huh im sure i duww,how u look soft Hoe Question appears to be insulting by calling the person a hoe hoe you look soft hoe u look soft ,Yes
63,Hahaha whyy yu callin him fag Lmfao vvv lmfaoo hehehe i alwayss dew tht ily 33u2665,fag fag ,Yes
64,Hoe Shut The Fuk Up u Jus Formspring talk Df Yuu Not Bout Nun w e ,Q Hoe Shut The Fuk Up u Jus Formspring talk Df Yuu Not Bout Nun Hoe Shut The Fuk Up u Jus Formspring talk Df Yuu Not Bout Nun Hoe Shut The Fuk Up Hoe Shut The Fuk Up Shut the fuk up ,Yes
65,HOE GT STR88 LIL UGLY AS HOO CUS U FUKN WIDD DA RONG MUTHA FUKNN PERSONNN U BEST BELIEVE U FUK WIT PRISCILLA U FUKN WITT ERRBODDI CUSS HOEE U CANN GET YA FACE FUKD UP REAL FASTT SO PUSSY HOE I ADVICE U STAY DF OFF HA MUTHA FUKN FORMSPRING amp hoe dnt be anomnous ,FACE FUKD UP REAL FASTT SO PUSSY HOE I ADVICE U STAY DF OFF HA MUTHA FUKN FORMSPRING LIL UGLY AS HOO U FUKN WIDD DA RONG MUTHA FUKNN PERSONNN HOEE U CANN GET YA FACE FUKD UP REAL FASTT HOE GT STR88 LIL UGLY AS HOO CUS U FUKN WIDD DA RONG MUTHA FUKNN PERSONNN U BEST BELIEVE U FUK WIT PRISCILLA U FUKN WITT ERRBODDI CUSS HOEE U CANN GET YA FACE FUKD UP REAL FASTT SO PUSSY HOE I ADVICE U STAY DF OFF HA MUTHA FUKN FORMSPRING HOE GT STR88 UGLY AS HOO ACE FUKD UP REAL FASTT SO PUSSY HOE The whole rant HOEE U CANN GET YA FACE FUKD UP REAL FASTT ,Yes
66,Hey aujala r hey whoree ,whore Hey whore The answerer uses a derogatory term but it looks like a term of endearment for these particular people ,Yes
67,DO yOU WATCH PoRN Haha funny question i would answer you butt it doesn t mattr ,DO yOU WATCH PoRN porn ,Yes
68,have u ever sucked a dick i belive thts none of ur bissniuess and dnt think so ,have u ever sucked a dick have you ever sucked a dick none of your business ,Yes
69,Dumb bitch Fuchkkk you and your stupid friends Your all pussies None of you can handle on your own You always need your friends to get in everything Your honestly waisting m time but whtevrr I don t care wht you think juss come and say it to my face ,dumb bitch fuck you your all pussies Dumb bitch Fuchkkk you and your stupid friends Your all pussies dumb bitch fuchkkk stupid come say it to my face ,Yes
70,PUssy hoe Dis Is nene bitch fuk wit it nene who eva the fuk u is bitch u get get it , Q PUssy hoe Dis Is nene bitch fuk wit it A nene who eva the fuk u is bitch u get get it PUssy hoe bitch PUssy hoe Dis Is nene bitch fuk wit it Dis Is nene bitch fuk wit it eva the fuk u is bitch u get get it ,Yes
71,wowo people stfu you guys must feel really insecure about ur self and that is why you need to try to make fun of other people if you feel insecure about your own body then go fuckin die in a fuckin hole and suck on the devils cock thank you haha seriously they do,if you feel insecure about your own body then go fuckin die in a fuckin hole and suck on the devils cock then go fuckin die in a fuckin hole and suck on the devils cock you guys must feel really insecure about ur self and that is why you need to try to make fun of other people go fuckin die in a fuckin hole and suck on the devils cock wowo people stfu you guys must feel really insecure about ur self and that is why you need to try to make fun of other people if you feel insecure about your own body then go fuckin die in a fuckin hole and suck on the devils cock ,Yes
72,she ot me right by her side bitch an at least i can show my dam info pussyyy ass V mmhm yup and so will 10000 more and ily rach u2665,pussyyy ass V pussyyy ass bitch pussyyy ass ,Yes
73,suck me fucker hahahahahahhahha yeah yeah like that yeah OH OH OH SIMOA rigelATTEMPTS oh gosh lol,suck me fucker suck me fucker ,Yes
74,okay the raping will begin in 3 2 1 haha thanks rigel,raping okay the raping will begin in 3 2 1 ,Yes
75,WUT SZ R U TITS big enought to be big small enhough to be small D,WUT SZ R U TITS Q WUT SZ R U TITS ,Yes
76,Sex sex sex spam spam spam D haha aw iloveyou pieface, sex spam pieface ,Yes
77,i c aussies are starting to get smarter now adayz lmao lmao woooow u hater thats ok cause i have nothing but love to throw around lol,aussies are starting to get smarter now adayz aussies are starting to get smarter now adayz lmao ,Yes
